word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
Asian,asian,'eiʃәn,"n. a native or inhabitant of Asia
a. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture","n. 亚洲人
a. 亚洲的, 亚洲人的",j:86/n:14,0,0,zk gk,3725,2351,asian
ask,ask,ɑ:sk,"v. inquire about
v. make a request or demand for something to somebody
v. direct or put; seek an answer to
v. consider obligatory; request and expect","vi. 问, 要求
vt. 问, 要求, 邀请, 需要",v:100,5,1,zk gk,141,131,ask
asleep,asleep,ә'sli:p,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state","a. 睡着的, 长眠的, 麻木的
adv. 熟睡地",j:100,2,1,zk gk cet4 ky,3043,3081,asleep
at,at,æt,n. 100 at equal 1 kip in Laos,"prep. 在, 向, 对
[计] 地址转换器, 异常传输, 自动订票",i:100,5,1,zk gk,22,22,at
Atlantic,atlantic,әt'læntik,"n. the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
a. relating to or bordering the Atlantic Ocean","n. 大西洋
a. 大西洋的",,0,0,zk gk cet4,3289,0,atlantic
attention,attention,ә'tenʃәn,"n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
n. a general interest that leads people to want to know more
n. a courteous act indicating affection
n. the faculty or power of mental concentration","n. 注意, 注意力
[计] 引起注意信号",n:100,4,1,zk gk cet4 ky toefl ielts,714,591,attention
august,august,ɒ:'gʌst. 'ɒ:gәst,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored","n. 八月
a. 威严的, 令人敬畏的",j:100,4,1,zk gk ielts gre,1239,22206,august
aunt,aunt,ɑ:nt,n. the sister of your father or mother; the wife of your uncle,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母",n:100,4,1,zk gk,2569,4166,aunt
Australia,australia,ɒ'streiljә,"n. a nation occupying the whole of the Australian continent; Aboriginal tribes are thought to have migrated from southeastern Asia 20,000 years ago; first Europeans were British convicts sent there as a penal colony
n. the smallest continent; between the South Pacific and the Indian Ocean","n. 澳洲, 澳大利亚",,0,0,zk gk ielts,1834,0,australia
Australian,australian,ɒ'streiljәn,"n. a native or inhabitant of Australia
n. the Austronesian languages spoken by Australian aborigines
a. of or relating to or characteristic of Australia or its inhabitants or its languages","n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的",j:84/n:16,0,0,zk gk ielts,3122,5172,australian
autumn,autumn,'ɒ:tәm,n the season when the leaves fall from the trees,"n. 秋天, 成熟期",n:100,3,1,zk gk,2252,5010,autumn
available,available,ә'veilәbl,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal","a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的",j:100,5,1,zk gk cet4 cet6 ky toefl ielts gre,334,622,available
avoid,avoid,ә'vɒid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something","vt. 避免, 防止, 撤消
[法] 避免, 回避, 躲开",v:100,4,1,zk gk cet4 ky toefl ielts gre,835,908,avoid
awake,awake,ә'weik,a. not in a state of sleep; completely conscious,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到",j:68/v:32,2,1,zk gk cet4 cet6 ky,4786,4647,awake
away,away,ә'wei,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)",adv. 离去,i:26/r:73/j:1,5,1,zk gk,237,269,away
baby,baby,'beibi,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women","n. 婴孩
[医] 婴儿",v:1/n:99,4,1,zk gk,869,588,baby
back,back,bæk,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body","a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面",r:71/v:3/j:2/n:24,5,1,zk gk ielts,105,108,back
